timestamp,scene,phase,score,key_events,event,reasoning,commentary
✅ **Referee Monitoring** — Central positioning suggests active game oversight  
✅ **Coach/Staff Engagement** — Tactical presence on sideline

> **Note**: No *current* goal, foul, or accident is occurring in this frame, but the scoreline and team positions indicate a meaningful *state* resulting from prior events. The most significant event detected is the **scoreline reflecting past goals**.",,
104.9s,"{
  ""scene_type"": ""football match"",
  ""objects"": [
    ""goalpost"",
    ""net"",
    ""football"",
    ""advertising boards"",
    ""stadium seating"",
    ""flags""
  ],
  ""people"": [
    ""goalkeeper (green jersey)"",
    ""defender (red jersey, #3)"",
    ""defender (white jersey, #20)"",
    ""defender (white jersey, #17)"",
    ""attacker (red jersey, #52)"",
    ""referee (yellow jersey)"",
    ""player on the ground (white jersey)"",
    ""spectators in stands""
  ],
  ""activity"": ""A shot on goal is being taken or has just been taken, with the goalkeeper diving to his right to save the ball. A player in white is on the ground near the goal line, possibly having attempted a shot or been tackled. Other players are positioned around the goal area, reacting to the play. The referee is observing closely. The scene suggests a critical moment in the match, likely during a scoring attempt.""
}",kickoff,0-0,,"**Detected Meaningful Event: Goal Attempt / Shot on Goal**

**Event Type:** Sports — Goal Attempt

**Description:**  
A critical moment in the football match is occurring, centered around a shot on goal. The goalkeeper (in green jersey) is diving to his right in an attempt to save the ball, indicating a direct scoring attempt. A player in white jersey is on the ground near the goal line, possibly having taken the shot or been tackled during the play. Other players and the referee are actively reacting, suggesting high intensity and potential scoring opportunity.

**Supporting Evidence:**
- Goalkeeper diving — typical response to a shot on goal.
- Player on the ground near goal line — likely involved in the scoring attempt.
- Players positioned around goal area — reacting to the play.
- Referee observing closely — indicates importance of the moment.

**Possible Outcomes:**
- Goal scored (if ball enters net).
- Save by goalkeeper.
- Offside or foul (if player on ground was fouled or offside).

**Recommendation:**  
Monitor the next frame to determine if the ball entered the net (goal) or was saved. This event is a high-impact moment in the match and should be flagged for further analysis or highlight generation.",,
114.5s,"{
  ""scene_type"": ""football match"",
  ""objects"": [
    ""football goal"",
    ""advertising boards (betway, 1XBET, Auberge Resorts)"",
    ""football field"",
    ""scoreboard"",
    ""referee"",
    ""camera operator"",
    ""substitute bench area""
  ],
  ""people"": [
    ""football players (in red and white kits)"",
    ""goalkeeper (in green kit)"",
    ""referee (in yellow kit)"",
    ""camera operator (with camera on shoulder)"",
    ""spectators (in background)""
  ],
  ""activity"": ""The match is in progress with Roma leading 2-0 against Verona at 62:02 minutes. Players are positioned in the attacking half, with Verona players appearing dejected, particularly one player bending over near the penalty area. The referee is interacting with a player near the center circle. The scene suggests a pause or moment of low intensity after a goal or during a stoppage in play.""
}",kickoff,0-0,,"**Detected Meaningful Event: Goal**

**Justification:**
- The scoreboard indicates Roma is leading 2-0, suggesting at least one goal has been scored.
- The activity description notes ""Verona players appearing dejected, particularly one player bending over near the penalty area"" — a common behavioral cue after conceding a goal.
- The match is at 62:02 minutes, and the scene suggests a pause or low-intensity moment, which often follows a goal.
- The referee is interacting with a player near the center circle, possibly during a stoppage or restart after a goal.

This aligns with the **Sports** category event: **Goal**.",,
122.2s,"{
  ""scene_type"": ""Sports broadcast - football match"",
  ""objects"": [
    ""football goal"",
    ""goal net"",
    ""football"",
    ""VAR room monitor"",
    ""VAR center control desk"",
    ""scoreboard overlay"",
    ""advertising boards (e.g., 'Cberge Resort')"",
    ""stadium seats"",
    ""VAR screen"",
    ""referee's jersey (yellow with 'GIVOVÁ' and 'TAGHeuer')"",
    ""player jerseys (red/yellow and white)""
  ],
  ""people"": [
    ""football players (one in red/yellow jersey #22, one in white jersey #17)"",
    ""goalkeeper (in red/yellow kit)"",
    ""referee (in yellow jersey, back to camera)"",
    ""VAR officials (in VAR room, seated at control desk)""
  ],
  ""activity"": ""A football match between ROM and VER is ongoing (score 2-0, 63:26 minutes played). The VAR system is currently reviewing a possible penalty for handball. The main screen shows a close-up of the goal area where a player in white (#17) appears to have made contact with the ball near the goal, while the goalkeeper and another player react. The VAR room is shown in a split-screen, with officials analyzing the incident on multiple monitors. The broadcast is presented by crypto.com.""
}",kickoff,0-0,,"**Detected Meaningful Event:**

✅ **VAR Review – Possible Handball Incident**

- **Event Type:** Sports – *Offside / Foul / Penalty Review*
- **Context:** During a football match between ROM and VER (score 2-0, 63:26 minutes played), the Video Assistant Referee (VAR) system is actively reviewing a potential handball incident.
- **Key Details:**
  - Player in white jersey (#17) appears to have made contact with the ball near the goal area.
  - Goalkeeper and another player (in red/yellow jersey #22) are reacting to the incident.
  - VAR officials are analyzing the play in real-time from the VAR room, using multiple monitors.
  - Broadcast includes split-screen view of the incident and VAR room, indicating high-level scrutiny.
- **Significance:** This is a critical moment in the match — a potential penalty decision could alter the game’s outcome. The VAR review suggests the incident is being evaluated for handball, which may lead to a penalty kick or a goal being disallowed.

---

**Additional Notable Observations:**

- **Scene Transition:** The broadcast has shifted from live gameplay to a VAR review, indicating a pause in normal play.
- **Action Change:** The on-field action has stopped; focus is now on the VAR decision-making process.
- **Broadcast Context:** The presence of ""crypto.com"" as the broadcaster and ""TAGHeuer"" on the referee’s jersey indicates a professional, high-profile match with commercial branding.

---

**Conclusion:**
The most meaningful event in this frame is the **VAR review of a possible handball incident**, which has the potential to directly impact the match’s score and momentum. This qualifies as a **critical sports event** requiring immediate attention from officials and viewers alike.",,
135.6s,"{
  ""scene_type"": ""football match"",
  ""objects"": [
    ""football goal"",
    ""advertising boards (1XBET, Auberge Resorts)"",
    ""corner flag"",
    ""field markings"",
    ""camera operator with equipment"",
    ""scoreboard overlay (ROM 2-0 VER, 65:07)""
  ],
  ""people"": [
    ""goalkeeper (green kit)"",
    ""football players (red kits - ROM, white kits - VER)"",
    ""referee (yellow kit)"",
    ""assistant referee (yellow kit, near corner flag)"",
    ""spectators/staff behind barriers"",
    ""camera operator""
  ],
  ""activity"": ""The match is in progress during the second half (65:07). Roma (in red) leads 2-0 against Verona (in white). Players are positioned near the Verona goal area, suggesting a recent attack or defensive phase. The goalkeeper is standing near his goal line, and players from both teams are spread across the penalty area and midfield. The referee is observing play near the center of the penalty box. The scene indicates a moment of transition or regrouping after an offensive attempt.""
}",kickoff,0-0,,"**Detected Meaningful Event:**

- **Action Change** – The scene indicates a moment of transition or regrouping after an offensive attempt, suggesting a shift in play dynamics (e.g., from attack to defense or vice versa).

- **Scene Transition** – While not a full scene change, the description implies a shift in the flow of play, possibly following a completed attacking move or defensive clearance.

- **General Match Context** – The scoreboard shows **ROM 2-0 VER at 65:07**, indicating the match is in the second half and Roma is leading comfortably. This context may influence player behavior and tactical decisions, though no specific event like a goal or foul is explicitly described.

**Note:** No explicit *sports-specific* events (e.g., goal, foul) are detected in this frame. The activity is described as a transitional phase, so the most meaningful events are **Action Change** and **Scene Transition** under the General category.",,
145.1s,"{
  ""scene_type"": ""football match"",
  ""objects"": [
    ""football field"",
    ""goal line"",
    ""center circle"",
    ""advertising boards"",
    ""scoreboard"",
    ""referee"",
    ""players"",
    ""ball""
  ],
  ""people"": [
    ""referee (yellow jersey)"",
    ""players in red jerseys (team ROM)"",
    ""players in white jerseys (team VER)"",
    ""substitutes or staff on sideline"",
    ""spectators in stands (background)""
  ],
  ""activity"": ""The match is in progress with ROM leading 2-0 against VER at 75:23 minutes. A player in white is in possession of the ball near the center circle, being closely marked by a player in red. Other players are positioned across the field, indicating active gameplay. The referee is observing the play closely. The scene suggests a midfield phase of the game, with both teams organizing their formations.""
}",kickoff,0-0,,"**Detected Meaningful Event:**

- **Action Change**: Midfield possession shift — a player in white (team VER) is in possession near the center circle, under pressure from a player in red (team ROM), indicating a transition in ball control and potential offensive build-up by VER.

- **Game Context Update**: Match is in progress at 75:23 minutes, with ROM leading 2-0 — this suggests a critical phase of the game where the trailing team (VER) may be attempting to mount a comeback.

- **Player Interaction**: Close marking by ROM player on VER player in possession — indicates defensive pressure and tactical engagement.

- **Referee Engagement**: Referee is actively observing the play — suggests potential for decision-making (e.g., foul, offside, or positioning call) if contact or infringement occurs.

**Note**: While no goal, foul, or other explicit event is currently occurring, the **action change** and **possession shift** are meaningful in the context of a live football match, especially given the scoreline and time remaining.",,
153.9s,"{
  ""scene_type"": ""sports field"",
  ""objects"": [
    ""football pitch"",
    ""white boundary line""
  ],
  ""people"": [
    {
      ""description"": ""male football player in white jersey with blue trim, short dark hair, visible neck tattoo, mouth open as if shouting or celebrating"",
      ""clothing"": ""white long-sleeve jersey with blue collar and sleeve details, white shorts"",
      ""action"": ""running or moving quickly, possibly celebrating""
    }
  ],
  ""activity"": ""football player celebrating or reacting during a match, likely after scoring or making a key play""
}",kickoff,0-0,,"**Detected Event: Goal**

**Reasoning:**
- The football player is actively celebrating (mouth open, possibly shouting, running quickly) — a behavior strongly associated with scoring a goal.
- The context is a football match on a pitch, and the player’s emotional and physical reaction is consistent with a significant positive event.
- While not explicitly stated, the combination of celebration, movement, and match context makes “Goal” the most meaningful and likely event.

**Alternative Consideration:**
- *Key Play* (e.g., assist, save, tackle) — possible, but celebration is more intense and specific to scoring.
- *Foul* — unlikely, as the player is celebrating, not reacting to pain or penalty.

✅ **Final Event: Goal**",,
160.3s,"{
  ""scene_type"": ""football match"",
  ""objects"": [
    ""football"",
    ""goal net"",
    ""advertising board"",
    ""referee"",
    ""goalkeeper"",
    ""players"",
    ""stadium seating""
  ],
  ""people"": [
    {
      ""name"": ""Folorunsho"",
      ""jersey_number"": 90,
      ""team"": ""white jersey"",
      ""action"": ""jumping to head the ball""
    },
    {
      ""name"": ""Lukaku"",
      ""jersey_number"": 90,
      ""team"": ""red jersey"",
      ""action"": ""standing near the ball, facing away from the camera""
    },
    {
      ""role"": ""goalkeeper"",
      ""jersey_color"": ""green"",
      ""action"": ""standing in goal, watching the play""
    },
    {
      ""role"": ""referee"",
      ""jersey_color"": ""yellow"",
      ""action"": ""running towards the goal area""
    }
  ],
  ""activity"": ""A player (Folorunsho) is attempting a header near the goal, while the goalkeeper and another player (Lukaku) are positioned nearby. The referee is observing the play closely. The scene suggests a critical moment in the match, possibly a scoring attempt.""
}",kickoff,0-0,,"**Detected Meaningful Event: Goal Attempt**

**Reasoning:**
- Player **Folorunsho** (white jersey, #90) is **jumping to head the ball** near the goal — a clear scoring attempt.
- The **goalkeeper** is **standing in goal, watching the play**, indicating readiness to react — typical during a shot or header.
- **Lukaku** (red jersey, #90) is **standing near the ball, facing away**, possibly defending or reacting to the play.
- The **referee is running towards the goal area**, suggesting the action is critical and requires close observation — common during scoring attempts or potential fouls.
- The **activity description** explicitly states: “a critical moment in the match, possibly a scoring attempt.”

**Event Classification:**
- **Sports → Goal Attempt**

> ✅ **Event Detected: Goal Attempt**  
> *Context: A player (Folorunsho) is heading the ball toward the goal in a critical moment, with goalkeeper and referee reacting — indicative of a scoring opportunity.*",,
170.7s,"{
  ""scene_type"": ""football match"",
  ""objects"": [
    ""football goal"",
    ""football field"",
    ""advertising boards"",
    ""scoreboard"",
    ""corner flag"",
    ""referee"",
    ""assistant referee"",
    ""stadium stands"",
    ""camera equipment""
  ],
  ""people"": [
    ""football players (in red and white kits)"",
    ""goalkeeper (in green kit)"",
    ""referee (in yellow kit)"",
    ""assistant referee (in yellow kit)"",
    ""spectators in stands"",
    ""stadium staff (in high-visibility vests)""
  ],
  ""activity"": ""A football match is in progress during stoppage time (90:14 +5). The score is ROM 2-1 VER. Players are positioned near the penalty area, with a player in red (likely from Roma) attempting a header or aerial challenge near the goal. The goalkeeper is observing the play. The referee and assistant referee are monitoring the action. The scene suggests a critical moment, possibly a corner or set-piece situation, as players are clustered near the goal.""
}",kickoff,0-0,,"**Detected Meaningful Event:**

**Event Type:** Sports — **Goal Attempt / Aerial Challenge**

**Description:**  
During stoppage time (90:14 +5) in a football match (ROM 2-1 VER), a player in red (likely from Roma) is attempting a header or aerial challenge near the goal. The goalkeeper (in green) is observing the play, and players are clustered near the penalty area — indicating a high-pressure, critical moment, possibly during a corner or set-piece. The referee and assistant referee are actively monitoring the action, suggesting potential for a scoring opportunity or foul.

**Contextual Significance:**  
This is a **high-stakes moment** in the match, with the scoreline close (2-1) and time running out. A successful header could lead to a goal, potentially changing the outcome of the game. The clustering of players near the goal and the presence of the goalkeeper in position indicate a **defensive or offensive set-piece situation**.

**Possible Follow-up Events (Predictive):**  
- Goal scored  
- Foul committed (e.g., handball, offside, dangerous play)  
- Goalkeeper save  
- Corner kick awarded  
- Free kick awarded  

**Recommendation:**  
Monitor closely for **goal**, **foul**, or **offside** — all are likely next events given the context.",,
181.5s,"{
  ""scene_type"": ""football match sideline"",
  ""objects"": [
    ""football field"",
    ""white boundary lines"",
    ""players' cleats (yellow and green)""
  ],
  ""people"": [
    {
      ""description"": ""man with beard, wearing black t-shirt and dark blazer, gesturing with right arm, likely a coach or manager"",
      ""role"": ""coach/manager""
    },
    {
      ""description"": ""person in dark blue hooded jacket, facing away from camera, possibly another coach or official"",
      ""role"": ""coach/official""
    },
    {
      ""description"": ""partial view of another person's head in the bottom right corner"",
      ""role"": ""spectator or staff""
    }
  ],
  ""activity"": ""two coaches or officials are interacting on the sideline during a football match, possibly discussing a decision or strategy; the man with the beard appears to be gesturing emphatically, suggesting a moment of tension or instruction.""
}",kickoff,0-0,,"**Detected Meaningful Event:**

**Event Type:** *Action change* (with contextual significance in sports)

**Description:**  
A coach/manager (man with beard, black t-shirt, dark blazer) is gesturing emphatically with his right arm while interacting with another official/coach on the sideline during a football match. This indicates a moment of heightened communication, likely involving strategic instruction, protest, or reaction to a recent play or referee decision.

**Contextual Interpretation:**  
While not a direct game event like a goal or foul, this is a **meaningful event** in the context of a football match — it reflects **coaching interaction** or **emotional response**, which can influence team dynamics or game flow. It may also signal a **potential dispute or appeal**, especially given the emphatic gesture and the presence of another official.

**Suggested Label:**  
> **Coach interaction / Coaching reaction**  
> *(Subtype: Action change — with sports context)*

This event is notable for its potential impact on the match’s atmosphere and decision-making, even if not directly altering the score or play.",,
190.2s,"{
  ""scene_type"": ""graphic_promotional"",
  ""objects"": [
    ""Serie A logo"",
    ""1XBET logo"",
    ""text: INTERNATIONAL PARTNER"",
    ""geometric background design (triangles and lines)""
  ],
  ""people"": [],
  ""activity"": ""Promotional display announcing 1XBET as the international partner of Serie A, with a stylized digital background.""
}",kickoff,0-0,,"**Event Detected: Promotional Announcement**

**Category:** General / Marketing

**Description:**  
A promotional graphic is displayed, announcing 1XBET as the international partner of Serie A. The scene features logos of both entities, along with stylized geometric background elements, indicating a formal partnership announcement.

**Meaningful Event:**  
- **Scene transition** (if this frame follows or precedes a different scene)  
- **Action change** (from gameplay or commentary to promotional content)  
- **Brand partnership announcement** (specific to sports marketing context)

**Note:** While not a dynamic event like a goal or accident, this frame marks a **significant informational shift** — a deliberate broadcast interruption or segment for sponsorship promotion, which is meaningful in the context of sports broadcasting and media content analysis.",,
195.6s,"{
  ""scene_type"": ""graphic_background"",
  ""objects"": [
    ""triangles"",
    ""text""
  ],
  ""people"": [],
  ""activity"": ""static_display""
}",kickoff,0-0,,"**Event Detected: Scene transition**

**Reasoning:**
The frame describes a `graphic_background` with static elements (`triangles`, `text`) and no people or dynamic activity (`activity: ""static_display""`). This suggests a non-interactive, possibly introductory or transitional visual state. In the context of video analysis, a shift to a graphic background with no ongoing action typically indicates a **scene transition** — such as moving from live footage to a title card, menu, or interstitial screen.

This aligns with the ""General"" category event: **Scene transition**.

✅ **Detected Event: Scene transition**",,
199.7s,"{
  ""scene_type"": ""graphic_background"",
  ""objects"": [
    ""triangles"",
    ""text""
  ],
  ""people"": [],
  ""activity"": ""static_display_of_graphic_elements_with_text""
}",kickoff,0-0,,"**Event Detected: Scene transition**

**Reasoning:**
The frame describes a `graphic_background` with static elements (triangles, text) and no people or dynamic activity. Since the activity is explicitly labeled as ""static_display_of_graphic_elements_with_text,"" this suggests a non-interactive, possibly introductory or transitional visual state. In the context of video analysis, such a frame often marks a **scene transition** — especially if it follows or precedes more dynamic content (e.g., live footage, action, or movement).

**Note:** If this is the first frame or follows a different scene type (e.g., live video, drone footage), the event is more clearly a **scene transition**. If it’s part of a continuous static display, it may not be an event — but given the general event category includes ""Scene transition,"" and the frame is explicitly static and graphical, it’s reasonable to classify this as a **scene transition** event.

✅ **Detected Event: Scene transition**",,
205.3s,"{
  ""scene_type"": ""graphic_background"",
  ""objects"": [
    ""triangular shapes"",
    ""geometric patterns"",
    ""text (SUBSCRIBE)""
  ],
  ""people"": [],
  ""activity"": ""static display of a stylized digital background with a call-to-action text""
}",kickoff,0-0,,"**Detected Event: Scene transition**

**Reasoning:**
The frame describes a ""graphic_background"" with static visual elements (triangular shapes, geometric patterns, and text ""SUBSCRIBE"") and no people or dynamic activity. This suggests a non-narrative, stylized visual typically used as an end-screen or transition in video content. Given the presence of a call-to-action (""SUBSCRIBE"") and the absence of ongoing action, this is most likely a **scene transition** — specifically, a transition to an end-card or outro sequence.

**Additional Note:**
While ""Action change"" could be considered, ""Scene transition"" is more precise here, as the frame represents a deliberate shift in visual context (e.g., from content to a call-to-action screen), not a change in ongoing behavior or movement.

✅ **Final Event: Scene transition**",,
